# ep = 80
# I = 1
# Rm = 10
# dr = 0.5
# N = 10
# l_B = 55.7
# tol_psi = 1e-10
# iter_psi_max = 10000
# tau_psi = 0.0001
# delta_psi_left = 3.19744231092045e-14
# delta_psi_right = 3.37507799486048e-14
# tol_y = 1e-10
# iter_y_max = 10000
# tau_y = 0.0001
# delta_y_left = 2.58430610244886e-09
# delta_y_right = 2.81512058109001e-09
# tol_E_Rc = 1e-10
# iter_E_Rc_max = 10000
# tau_E_Rc = 0.0001
# delta_E_Rc = 9.9970698386187e-11
# alpha = -20
# chi = 40
# theta = 2
# eta_left_initial  = 0.1
# eta_right_initial = 0.5
#
# eta_left  = 2.52848728205496e-06
# eta_right = 0.999997469691266
# E(R_c) = -3.27915088750783
# Omega = 5814.69774636179
#
# s psi_left(s) psi_right(s)
0 -7.10387860139889 7.10387859261813
1 -5.51362378933952 5.51362378430538
2 -4.46218248402819 4.46218248003373
3 -3.62819901602684 3.62819901247406
4 -2.92039798684804 2.92039798351699
5 -2.30010065483965 2.30010065163046
6 -1.74685341596264 1.74685341282396
7 -1.24800454439496 1.24800454129791
8 -0.794773490494403 0.794773487421411
9 -0.380538570165099 0.38053856710448
10 -7.77661765822325e-09 4.71972030311839e-09
